foul	f {O l
coordinate	k @} ' o: d @ n {I t
otherwise	' 6 D @ w Ae z
taxi	' t { k s i:
livestock	' l Ae v s t O k
worn-out	w o: n ' {O t
armour	' 6: m @
valuable	' v { l j @ b @ l
sweeping	' s w i: p I N
maternity	m @ ' t 3: n @ t i:
touch	t 6 tS
speed	s p i: d
tirade	t Ae ' r\ {I d
death	d e T
desktop	' d e s k t O p
verse	v 3: s
role	r\ @} l
struck	s t r\ 6 k
real	r\ i: l
hover	' h O v @
frown	f r\ {O n
spectacular	s p e k ' t { k j @ l @
read	r\ i: d
offence	@ ' f e n s
specimen	' s p e s @ m @ n
discontinue	d I s k @ n ' t I n j }:
early	' 3: l i:
earnest	' 3: n @ s t
nocturnal	n O k ' t 3: n @ l
detract	d @ ' t r\ { k t
ramshackle	' r\ { m S { k @ l
lady	' l {I d i:
hovel	' h O v @ l
rear	' r\ I@
fortune	' f o: tS @ n
postcard	' p @} s t k 6: d
collective	k @ ' l e k t I v
greeting	' g r\ i: t I N
miracle	' m I r\ @ k @ l
roll	r\ @} l
untangle	6 n ' t { N g @ l
benefit	' b e n @ f @ t
t	t i:
downward	' d {O n w @ d
twelve	t w e l v
harpoon	h 6: ' p }: n
verbal	' v 3: b @ l
apartments	@ p 6: t m @ n t s
duration	d j }: ' r\ {I S @ n
intend	I n ' t e n d
questionnaire	k w e s tS @ n ' e:
squirm	s k w 3: m
perverse	p @ ' v 3: s
hepatitis	h e p @ ' t Ae t @ s
conservative	k @ n ' s 3: v @ t I v
garret	' g { r\ @ t
impress	I m ' p r\ e s
recorder	r\ @ ' k o: d @
hustle	' h 6 s @ l
assembly	@ ' s e m b l i:
business	' b I z n @ s
throb	T r\ O b
demonstrative	d @ ' m O n s t r\ @ t I v
equivalent	@ ' k w I v @ l @ n t
strained	s t r\ {I n d
tuition	t j }: ' I S @ n
uneasy	6 n ' i: z i:
hectic	' h e k t I k
assemble	@ ' s e m b @ l
exciting	@ k ' s Ae t I N
throw	T r\ @}
comparison	k @ m ' p { r\ @ s @ n
central	' s e n t r\ @ l
chop	tS O p
journey	' dZ 3: n i:
wolf	w U l f
trailer	' t r\ {I l @
testimony	' t e s t @ m @ n i:
assassin	@ ' s { s @ n
backup	' b { k 6 p
heater	' h i: t @
disinfectant	d I s I n ' f e k t @ n t
yourself	j o: ' s e l f
renovate	' r\ e n @ v {I t
earring	' I@ r\ I N
elementary	e l @ ' m e n t r\ i:
resuscitate	r\ @ ' s 6 s @ t {I t
your	j o:
restless	' r\ e s t l @ s
lob	l O b
grater	' g r\ {I t @
log	l O g
prepare	p r\ @ ' p e:
area	' e: r\ i: @
cold-blooded	' k @} l d b l 6 d @ d
start	s t 6: t
lop	l O p
low	l @}
lot	l O t
immaculate	@ ' m { k j @ l @ t
groan	g r\ @} n
J	dZ {I
posterior	p O ' s t I@ r\ i: @
recoil	r\ @ ' k oI l
gatecrash	' g {I t k r\ { S
cottage	' k O t I dZ
corduroy	' k o: d @ r\ oI
hire	' h Ae @
fraud	f r\ o: d
circulation	s 3: k j @ ' l {I S @ n
default	d @ ' f O l t
bucket	' b 6 k @ t
native	' n {I t I v
gibberish	' dZ I b @ r\ I S
undertake	6 n d @ ' t {I k
subdue	s @ b ' d j }:
describe	d @ ' s k r\ Ae b
moved	m }: v d
sheepish	' S i: p I S
nerd	n 3: d
innings	' I n I N z
Lao	l {O
antenna	{ n ' t e n @
backstroke	' b { k s t r\ @} k
storage	' s t o: r\ I dZ
event	@ ' v e n t
housework	' h {O s w 3: k
valid	' v { l @ d
transfusion	t r\ { n s ' f j }: Z @ n
mathematics	m { T @ ' m { t I k s
woeful	' w @} f U l
poor	p o:
peat	p i: t
drift	d r\ I f t
carpenter	' k 6: p @ n t @
peal	p i: l
peak	p i: k
suited	' s }: t @ d
pooh	p }:
pool	p }: l
building	' b I l d I N
assert	@ ' s 3: t
dabble	d { b @ l
condensation	k O n d @ n ' s {I S @ n
apathy	' { p @ T i:
bystander	' b Ae s t { n d @
repay	r\ i: ' p {I
overseas	@} v @ ' s i: z
skeleton	' s k e l @ t @ n
breadth	b r\ e d T
groundwork	' g r\ {O n d w 3: k
month	m 6 n T
unrest	6 n ' r\ e s t
thoughtful	' T o: t f U l
bequeath	b @ ' k w i: D
deadline	' d e d l Ae n
dugout	' d 6 g {O t
bulb	b 6 l b
duty-free	d j }: t i: ' f r\ i:
eardrum	' I@ d r\ 6 m
carpet	' k 6: p @ t
dreadful	' d r\ e d f U l
corps	k o:
insulate	' I n S @ l {I t
Elle	e l
foster	' f O s t @
sustain	s @ ' s t {I n
shipment	' S I p m @ n t
confidential	k O n f @ ' d e n S @ l
very	' v e r\ i:
horror	' h O r\ @
paradise	' p { r\ @ d Ae s
screwdriver	' s k r\ }: d r\ Ae v @
parry	' p { r\ i:
rogue	r\ @} g
decide	d @ ' s Ae d
hold-up	' h @} l d 6 p
maladjusted	m { l @ ' dZ 6 s t @ d
heaven	' h e v @ n
deficient	d @ ' f I S @ n t
curdle	' k 3: d @ l
disrepute	d I s r\ @ ' p j }: t
anal	' {I n @ l
bedridden	' b e d r\ I d @ n
locomotive	l @} k @ ' m @} t I v
blackout	' b l { k {O t
dunk	d 6 N k
fence	f e n s
colossal	k @ ' l O s @ l
orgasm	' o: g { z @ m
vivacious	v @ ' v {I S @ s
hamper	' h { m p @
chuckle	' tS 6 k @ l
penalise	' p e n @ l Ae z
conscience	' k O n S @ n s
dissertation	d I s @ ' t {I S @ n
Latin	' l { t @ n
lurch	l 3: tS
skid	s k I d
conjunctivitis	k @ n dZ 6 N k t @ ' v Ae t @ s
overrule	@} v @ ' r\ }: l
repugnant	r\ @ ' p 6 g n @ n t
multinational	m 6 l t i: ' n { S @ n @ l
ferocious	f @ ' r\ @} S @ s
loose	l }: s
modify	' m O d @ f Ae
vet	v e t
lack	l { k
selective	s @ ' l e k t I v
pub	p 6 b
excess	' e k s e s
strong	s t r\ O N
advisable	@ d ' v Ae z @ b @ l
arena	@ ' r\ i: n @
conviction	k @ n ' v I k S @ n
vegetarian	v e dZ @ ' t e: r\ i: @ n
whine	w Ae n
telecast	' t e l @ k 6: s t
youngster	' j 6 N s t @
soldier	' s @} l dZ @
amount	@ ' m {O n t
heroin	' h e r\ @ w @ n
rort	r\ o: t
biodegradable	b Ae @} d @ ' g r\ {I d @ b @ l
shuffle	' S 6 f @ l
family	' f { m @ l i:
marginal	' m 6: dZ @ n @ l
cosmetic	k O z ' m e t I k
maths	m { T s
haemoglobin	h i: m @ ' g l @} b @ n
unscrupulous	6 n ' s k r\ }: p j @ l @ s
trainee	t r\ {I ' n i:
seventeenth	s e v @ n ' t i: n T
conventional	k @ n ' v e n S @ n @ l
injure	' I n dZ @
teat	t i: t
titbit	' t I t b I t
mysterious	m @ s ' t I@ r\ i: @ s
erode	@ ' r\ @} d
outpatient	' {O t p {I S @ n t
excuse	@ k ' s k j }: s
impulse	' I m p 6 l s
mouth-watering	' m {O T w o: t @ r\ I N
rudder	' r\ 6 d @
hurry	' h 6 r\ i:
grill	g r\ I l
breadline	' b r\ e d l Ae n
coalition	k @} @ ' l I S @ n
nine	n Ae n
SA	s {O T @ ' s t r\ {I l j @
spontaneous	s p O n ' t {I n i: @ s
self-conscious	s e l f ' k O n S @ s
history	' h I s t r\ i:
tenacious	t @ ' n {I S @ s
pusher	' p U S @
boycott	' b oI k O t
radiotherapy	r\ {I d i: @} ' T e r\ @ p i:
pushed	p U S t
exclude	@ k ' s k l }: d
species	' s p i: s i: z
terribly	' t e r\ @ b l i:
Apr.	' {I p r\ @ l
ledger	' l e dZ @
reject	r\ @ ' dZ e k t
gash	g { S
threat	T r\ e t
rude	r\ }: d
sneak	s n i: k
malnourished	' m { l n 6 r\ I S t
gasp	g { s p
horizontal	h O r\ @ ' z O n t @ l
compulsory	k @ m ' p 6 l s @ r\ i:
hooll	h U l
a	@
apocalypse	@ ' p O k @ l I p s
morphine	' m o: f i: n
deluge	' d e l j }: dZ
laminate	' l { m @ n {I t
mobilise	' m @} b @ l Ae z
ego	' i: g @}
dread	d r\ e d
egg	e g
crafty	' k r\ 6: f t i:
feed	f i: d
materialistic	m @ t I@ r\ i: @ ' l I s t I k
help	h e l p
reservoir	' r\ e z @ v w 6:
hierarchy	' h Ae @ r\ 6: k i:
slouch	s l {O tS
urine	' j }: r\ @ n
dine	d Ae n
auburn	' o: b @ n
held	h e l d
committee	k @ ' m I t i:
soot	s U t
helm	h e l m
hell	h e l
limelight	' l Ae m l Ae t
racecourse	' r\ {I s k o: s
actually	' { k tS }: @ l i:
astonish	@ ' s t O n I S
relate	r\ @ ' l {I t
rabble	' r\ { b @ l
fool	f }: l
evening	' i: v n I N
food	f }: d
din	d I n
terrain	t @ ' r\ {I n
vomit	' v O m @ t
foot	f U t
yr	j I@
menstruate	' m e n s t r\ }: Ae t
stopper	' s t O p @
croupier	' k r\ }: p i: @
decimal	' d e s @ m @ l
intervene	I n t @ ' v i: n
ACTU	{I s i: t i: ' j }:
twelfth	t w e l f T
bless	b l e s
die	d Ae
fairy	' f e: r\ i:
isn't	I z @ n t
notify	' n @} t @ f Ae
heavy	' h e v i:
penfriend	' p e n f r\ e n d
pamper	' p { m p @
p	p i:
proposals	p r\ @ p @} z @ l z
thirteenth	T 3: ' t i: n T
deride	d @ ' r\ Ae d
beyond	b @ ' j O n d
heave	h i: v
anarchy	' { n @ k i:
miss	m I s
since	s I n s
testify	' t e s t @ f Ae
publish	' p 6 b l I S
jolly	' dZ O l i:
fountain	' f {O n t @ n
issue	' I S }:
gardener	' g 6: d n @
ass	{ s
pun	p 6 n
bald	b o: l d
bass	b {I s
dirt	d 3: t
BC	b i: ' s i:
team	t i: m
dung	d 6 N
dune	d j }: n
reason	' r\ i: z @ n
base	b {I s
coastline	' k @} s t l Ae n
dire	d Ae @
ask	6: s k
ash	{ S
pup	p 6 p
bask	b 6: s k
bash	b { S
pus	p 6 s
revolutionary	r\ e v @ ' l }: S @ n r\ i:
dishwasher	' d I S w O S @
launch	l o: n tS
terrible	' t e r\ @ b @ l
bridegroom	' b r\ Ae d g r\ }: m
caption	' k { p S @ n
liaison	l i: ' {I z @ n
blush	b l 6 S
assign	@ ' s Ae n
merry	' m e r\ i:
arsenal	' 6: s @ n @ l
elder	' e l d @
quarry	' k w O r\ i:
nutritionist	n j }: ' t r\ I S @ n @ s t
mist	m I s t
boobook	' b }: b U k
sheep	S i: p
arbitration	6: b @ ' t r\ {I S @ n
horse	h o: s
blossom	' b l O s @ m
metho	' m e T @}
station	' s t {I S @ n
stepladder	' s t e p l { d @
expand	@ k ' s p { n d
sigh	s Ae
hundred	' h 6 n d r\ @ d
Cl.	k l @} s
slosh	s l O S
bowel	' b {O @ l
consonant	' k O n s @ n @ n t
sign	s Ae n
apprentice	@ ' p r\ e n t @ s
leotard	' l i: @ t 6: d
plughole	' p l 6 g h @} l
grew	g r\ }:
kindly	' k Ae n d l i:
anticipate	{ n ' t I s @ p {I t
impersonal	I m ' p 3: s @ n @ l
grey	g r\ {I
goldmine	' g @} l d m Ae n
bride	b r\ Ae d
uncanny	6 n ' k { n i:
kindle	' k I n d @ l
drake	d r\ {I k
phobia	' f @} b i: @
coleslaw	' k @} l s l o:
footnote	' f U t n @} t
affirmative	@ ' f 3: m @ t I v
juice	dZ }: s
steak	s t {I k
cumbersome	' k 6 m b @ s @ m
vulnerable	' v 6 l n r\ @ b @ l
lid	l I d
lie	l Ae
koala	k @} ' 6: l @
superior	s @ ' p I@ r\ i: @
cave	k {I v
camouflage	' k { m @ f l 6: Z
lit	l I t
labour	' l {I b @
lip	l I p
breaststroke	' b r\ e s t s t r\ @} k
honeycomb	' h 6 n i: k @} m
towards	t @ ' w o: d z
quote	k w @} t
virgin	' v 3: dZ @ n
quota	' k w @} t @
promenade	p r\ O m @ ' n {I d
anniversary	{ n @ ' v 3: s @ r\ i:
bridle	' b r\ Ae d @ l
hothouse	' h O t h {O s
watt	w O t
diametrically	d Ae @ ' m e t r\ I k l i:
hands-on	h { n d z ' O n
salary	' s { l @ r\ i:
sturdy	' s t 3: d i:
mobile	' m @} b Ae l
roadworks	' r\ @} d w 3: k s
clear	k l I@
part-time	p 6: t ' t Ae m
clean	k l i: n
skein	s k {I n
blend	b l e n d
humid	' h j }: m @ d
phenomenon	f @ ' n O m @ n @ n
hovered	h O v @ d
flicker	' f l I k @
booze	b }: z
flatette	f l { t ' e t
crayon	' k r\ {I O n
wriggle	' r\ I g @ l
copyright	' k O p i: r\ Ae t
justice	' dZ 6 s t @ s
scooter	' s k }: t @
less	l e s
paranoia	p { r\ @ ' n oI @
French	f r\ e n tS
pretty	' p r\ I t i:
circle	' s 3: k @ l
porcupine	p o: k j @ p Ae n
legible	' l e dZ @ b @ l
meanwhile	' m i: n w Ae l
biopsy	' b Ae O p s i:
famous	' f {I m @ s
capsule	' k { p S }: l
Medicare	' m e d i: k e:
basement	' b {I s m @ n t
docile	' d @} s Ae l
during	' d j }: r\ I N
brickie	' b r\ I k i:
molten	' m @} l t @ n
monogram	' m O n @ g r\ { m
fluff	f l 6 f
immerse	@ ' m 3: s
boost	b }: s t
nightshirt	' n Ae tS 3: t
perfume	' p 3: f j }: m
after-hours	' 6: f t @ r\ {O @ z
hype	h Ae p
x	e k s
courteous	' k 3: t i: @ s
cramp	k r\ { m p
crackle	' k r\ { k @ l
newsagent	' n j }: z {I dZ @ n t
plough	p l {O
plausible	' p l o: z @ b @ l
culture	' k 6 l tS @
close	k l @} z
constellation	k O n s t @ ' l {I S @ n
revolution	r\ e v @ ' l }: S @ n
probable	' p r\ O b @ b @ l
wow	w {O
grocer	' g r\ @} s @
won	w 6 n
wok	w O k
assertive	@ ' s 3: t I v
woe	w @}
dank	d { N k
wog	w O g
interjection	I n t @ ' dZ e k S @ n
unconscious	6 n ' k O n S @ s
missing	' m I s I N
wreath	r\ i: T
spray	s p r\ {I
half-hearted	' h 6: f h 6: t @ d
genre	' Z O n r\ @
both	b @} T
fiance	f i: ' O n s {I
gaunt	g o: n t
sensitive	' s e n s @ t I v
buzz	b 6 z
secrete	s @ ' k r\ i: t
Turkish	' t 3: k I S
Ltd	' l I m @ t @ d
whatever	w O t ' e v @
vessel	' v e s @ l
bench	b e n tS
mumble	' m 6 m b @ l
horticulture	' h o: t @ k 6 l tS @
contraception	k O n t r\ @ ' s e p S @ n
arrest	@ ' r\ e s t
stamp	s t { m p
damp	d { m p
outstanding	{O t ' s t { n d I N
damn	d { m
coarse	k o: s
mutiny	' m j }: t @ n i:
threaten	' T r\ e t @ n
territory	' t e r\ @ t r\ i:
c/o	' k e: r\ O v
imam	' I m 6: m
dialogue	' d Ae @ l O g
lived	l I v d
crack	k r\ { k
else	e l s
bight	b Ae t
determination	d @ t 3: m @ ' n {I S @ n
liver	' l I v @
folklore	' f @} k l o:
furrow	' f 6 r\ @}
pact	p { k t
loom	l }: m
look	l U k
twenty	' t w e n t i:
rope	r\ @} p
pace	p {I s
bikini	b @ ' k i: n i:
socialism	' s @} S @ l I z @ m
match	m { tS
shift	S I f t
endanger	e n ' d {I n dZ @
fleet	f l i: t
loot	l }: t
animated	' { n @ m {I t @ d
guide	g Ae d
loop	l }: p
gala	' g 6: l @
petal	' p e t @ l
forebear	' f o: b e:
hoax	h @} k s
mallow	m { l @}
ready	' r\ e d i:
wuss	w U s
communal	k @ ' m j }: n @ l
shaw	S o:
grant	g r\ { n t
belong	b @ ' l O N
discredit	d I s ' k r\ e d @ t
paid-up	' p {I d 6 p
grand	g r\ { n d
chickenpox	' tS I k @ n p O k s
conflict	' k O n f l I k t
sham	S { m
ratshit	' r\ { tS I t
hallway	' h o: l w {I
used	j }: z d
temporary	' t e m p r\ i:
bonus	' b @} n @ s
overweight	@} v @ ' w {I t
censure	' s e n S @
cleaning	k l i: n I N
priceless	' p r\ Ae s l @ s
assortment	@ ' s o: t m @ n t
database	' d {I t @ b {I s
grind	g r\ Ae n d
synopsis	s @ ' n O p s @ s
consistency	k @ n ' s I s t @ n s i:
docket	' d O k @ t
coup	k }:
chore	tS o:
flaming	' f l {I m I N
supervise	' s }: p @ v Ae z
morsel	' m o: s @ l
cocky	' k O k i:
insolent	' I n s @ l @ n t
bunyip	' b 6 n j @ p
password	' p 6: s w 3: d
PIN	p I n
botch	b O tS
informal	I n ' f o: m @ l
cemetery	' s e m @ t r\ i:
shortcut	S o: t k 6 t
debatable	d @ ' b {I t @ b @ l
chairman	' tS e: m @ n
march	m 6: tS
radiator	' r\ {I d i: {I t @
evaluate	@ ' v { l j }: {I t
tiring	' t Ae @ r\ I N
game	g {I m
jibe	dZ Ae b
outright	' {O t r\ Ae t
optician	O p ' t I S @ n
oncoming	' O n k 6 m I N
multicultural	m 6 l t i: ' k 6 l tS @ r\ @ l
manifest	' m { n @ f e s t
trade-in	' t r\ {I d I n
popular	' p O p j @ l @
terminology	t 3: m @ ' n O l @ dZ i:
sketch	s k e tS
parade	p @ ' r\ {I d
mauve	m @} v
some	s 6 m
yolk	j @} k
urgent	' 3: dZ @ n t
trendy	' t r\ e n d i:
stir	s t 3:
savage	' s { v I dZ
dilapidated	d @ ' l { p @ d {I t @ d
reckon	' r\ e k @ n
grevillea	g r\ @ ' v I l i: @
simmer	' s I m @
slash	s l { S
slapstick	' s l { p s t I k
minimal	' m I n @ m @ l
Protestant	' p r\ O t @ s t @ n t
dehydrate	' d i: h Ae d r\ {I t
run	r\ 6 n
rum	r\ 6 m
rub	r\ 6 b
benefactor	' b e n @ f { k t @
rug	r\ 6 g
stem	s t e m
step	s t e p
scraggy	' s k r\ { g i:
stew	s t j }:
ache	{I k
taboo	t @ ' b }:
subtract	s @ b ' t r\ { k t
abroad	@ ' b r\ o: d
rut	r\ 6 t
wealth	w e l T
shine	S Ae n
faith	f {I T
soft	s O f t
hinge	h I n dZ
sake	s {I k
block	b l O k
paltry	' p o: l t r\ i:
shipshape	' S I p S {I p
caretaker	' k e: t {I k @
within	w I D ' I n
nonsense	' n O n s @ n s
nothing	' n 6 T I N
conscientious	k O n S i: ' e n S @ s
statistics	s t @ ' t I s t I k s
syllabus	' s I l @ b @ s
douse	d {O s
heritage	' h e r\ @ t I dZ
manufacture	m { n j @ ' f { k tS @
rummage	' r\ 6 m I dZ
himself	h I m ' s e l f
duly	' d j }: l i:
inept	I n ' e p t
hail	h {I l
fishy	' f I S i:
sick	s I k
reel	r\ i: l
dull	d 6 l
quorum	' k w o: r\ @ m
yoghurt	' j @} g @ t
chiropractor	' k Ae r\ @ p r\ { k t @
skull	s k 6 l
ute	j }: t
TAFE	t {I f
accustomed	@ ' k 6 s t @ m d
smoulder	' s m @} l d @
similar	' s I m @ l @
monumental	m O n j @ ' m e n t @ l
mindful	' m Ae n d f @ l
pilgrim	' p I l g r\ @ m
cremate	k r\ @ ' m {I t
kidney	' k I d n i:
cotton	' k O t @ n
sullen	' s 6 l @ n
nag	n { g
TV	t i: ' v i:
creeper	' k r\ i: p @
nap	n { p
theology	T i: ' O l @ dZ i:
department	d @ ' p 6: t m @ n t
disfavour	d I s ' f {I v @
draw	d r\ o:
AD	{I ' d i:
calculating	' k { l k j @ l {I t I N
plug	p l 6 g
AM	{I ' e m
bravado	b r\ @ ' v 6: d @}
drag	d r\ { g
drab	d r\ { b
reservation	r\ e z @ ' v {I S @ n
formal	' f o: m @ l
heroine	' h e r\ @ w @ n
structure	' s t r\ 6 k tS @
e	i:
practically	' p r\ { k t I k l i:
physics	' f I z I k s
outing	' {O t I N
sedative	' s e d @ t I v
wellbeing	' w e l b i: I N
Al	{ l
depth	d e p T
bribe	b r\ Ae b
everywhere	' e v r\ i: w e:
avoid	@ ' v oI d
virtue	' v 3: tS }:
kilometre	k @ ' l O m @ t @
grunt	g r\ 6 n t
cheerful	' tS I@ f U l
go	g @}
barbecue	' b 6: b @ k j }:
psycho	' s Ae k @}
ammonia	@ ' m @} n i: @
illegible	I ' l e dZ @ b @ l
wizard	' w I z @ d
mosque	m O s k
culinary	' k 6 l @ n r\ i:
suite	s w i: t
friendly	' f r\ e n d l i:
schooner	' s k }: n @
wave	w {I v
nausea	' n o: z i: @
excruciating	@ k ' s k r\ }: S i: {I t I N
stiff	s t I f
asparagus	@ ' s p { r\ @ g @ s
gender	' dZ e n d @
button	' b 6 t @ n
unusual	6 n ' j }: Z }: @ l
hive	h Ae v
verdict	' v 3: d I k t
ropeable	' r\ @} p @ b @ l
dilute	d Ae ' l }: t
booty	' b }: t i:
sultana	s 6 l ' t 6: n @
picket	' p I k @ t
fatalistic	f {I t @ ' l I s t I k
blitz	b l I t s
boots	b }: t s
jump	dZ 6 m p
noise	n oI z
booth	b }: D
picked	p I k t
pornography	p o: ' n O g r\ @ f i:
deputation	d e p j @ ' t {I S @ n
sausage	' s O s I dZ
poke	p @} k
Boyd	b oI d
opaque	@} ' p {I k
colonel	' k 3: n @ l
cell	s e l
rotten	' r\ O t @ n
experiment	@ k ' s p e r\ @ m @ n t
then	D e n
poky	' p @} k i:
melancholy	' m e l @ n k O l i:
commercial	k @ ' m 3: S @ l
brooch	b r\ @} tS
fifteenth	f I f ' t i: n T
Greek	g r\ i: k
conceited	k @ n ' s i: t @ d
pancake	' p { N k {I k
convert	k @ n ' v 3: t
chant	tS { n t
uptight	6 p ' t Ae t
repel	r\ @ ' p e l
Arabic	' { r\ @ b I k
gene	dZ i: n
salvation	s { l ' v {I S @ n
wig	w I g
daybreak	' d {I b r\ {I k
foresee	f o: ' s i:
clark	k l 6: k
danger	' d {I n dZ @
win	w I n
manage	' m { n I dZ
clout	k l {O t
wit	w I t
infest	I n ' f e s t
gimmick	' g I m I k
manipulate	m @ ' n I p j @ l {I t
metaphor	' m e t @ f o:
snoop	s n }: p
crag	k r\ { g
crab	k r\ { b
vehicle	' v I@ k @ l
cram	k r\ { m
exhaustive	@ g ' z o: s t I v
expressway	e k ' s p r\ e s w {I
depreciate	d @ ' p r\ i: S i: {I t
bureaucracy	b j }: ' r\ O k r\ @ s i:
cackle	' k { k @ l
lacerate	' l { s @ r\ {I t
tangerine	t { n dZ @ ' r\ i: n
Wednesday	' w e n z d {I
missile	' m I s Ae l
wretch	r\ e tS
whisky	' w I s k i:
meek	m i: k
lapse	l { p s
recession	r\ @ ' s e S @ n
meet	m i: t
control	k @ n ' t r\ @} l
dressmaker	' d r\ e s m {I k @
wharf	w o: f
red-back	' r\ e d b { k
serviceable	' s 3: v @ s @ b @ l
suds	s 6 d z
sought	s o: t
publicity	p 6 b ' l I s @ t i:
skirt	s k 3: t
hesitate	' h e z @ t {I t
waterproof	' w o: t @ p r\ }: f
poetry	' p @} @ t r\ i:
arrangement	@ ' r\ {I n dZ m @ n t
lurgy	' l 3: g i:
perspire	p 3: ' s p Ae @
immoral	I ' m O r\ @ l
fare	f e:
cobwebs	k O b w e b z
entree	' O n t r\ {I
farm	f 6: m
smear	s m I@
by-law	' b Ae l o:
Mrs	' m I s @ z
fart	f 6: t
Roman	' r\ @} m @ n
fatigue	f @ ' t i: g
prance	p r\ { n s
belongings	b @ ' l O N I N z
cutlery	' k 6 t l @ r\ i:
scoop	s k }: p
encyclopedia	e n s Ae k l @ ' p i: d i: @
agenda	@ ' dZ e n d @
jnr	' dZ }: n j @
soggy	' s O g i:
arithmetic	@ ' r\ I T m @ t I k
ambition	{ m ' b I S @ n
sperm	s p 3: m
enclose	e n ' k l @} z
costume	' k O s t j }: m
cruise	k r\ }: z
embezzle	e m ' b e z @ l
brittle	' b r\ I t @ l
brood	b r\ }: d
outer	' {O t @
broom	b r\ }: m
RAM	r\ { m
housewife	' h {O s w Ae f
him	h I m
chimney	' tS I m n i:
sword	s o: d
molecule	' m O l @ k j }: l
tile	t Ae l
snorkel	' s n o: k @ l
placid	' p l { s @ d
stout	s t {O t
front	f r\ 6 n t
handy	' h { n d i:
university	j }: n @ ' v 3: s @ t i:
tableware	' t {I b @ l w e:
slide	s l Ae d
magnitude	' m { g n @ tS }: d
mode	m @} d
upward	' 6 p w @ d
illuminate	@ ' l }: m @ n {I t
globe	g l @} b
pasteurise	' p 6: s tS @ r\ Ae z
seesaw	' s i: s o:
measure	' m e Z @
sandy	s { n d i:
butch	b U tS
lukewarm	l }: k ' w o: m
confess	k @ n ' f e s
unlawful	6 n ' l o: f U l
CES	s i: i: ' e s
playground	' p l {I g r\ {O n d
slapdash	' s l { p d { S
cause	k o: z
umbrella	6 m ' b r\ e l @
jilt	dZ I l t
diagonal	d Ae ' { g @ n @ l
undo	6 n ' d }:
gaol	dZ {I l
furore	' f j }: r\ o:
sneer	s n I@
airconditioning	' e: k @ n d I S @ n I N
princess	' p r\ I n s e s
shrew	S r\ }:
hostile	' h O s t Ae l
geometry	dZ i: ' O m @ t r\ i:
precaution	p r\ @ ' k o: S @ n
route	r\ }: t
keep	k i: p
intoxicated	I n ' t O k s @ k {I t @ d
keel	k i: l
wrote	r\ @} t
mankind	m { n ' k Ae n d
clamour	' k l { m @
fertiliser	' f 3: t @ l Ae z @
confuse	k @ n ' f j }: z
ring-in	' r\ I N I n
indisposed	I n d @ s ' p @} z d
date	d {I t
bitch	b I tS
such	s 6 tS
ice-cream	' Ae s k r\ i: m
quality	' k w O l @ t i:
management	' m { n I dZ m @ n t
choreographer	k O r\ i: ' O g r\ @ f @
dove	d 6 v
durable	' d j }: r\ @ b @ l
superannuation	' s }: p @ r\ { n j }: ' {I S @ n
attach	@ ' t { tS
attack	@ ' t { k
ankle	' { N k @ l
man	m { n
final	' f Ae n @ l
circulate	' s 3: k j @ l {I t
post-mortem	p @} s t ' m o: t @ m
sachet	' s { S {I
punish	' p 6 n I S
exactly	@ g ' z { k t l i:
apologise	@ ' p O l @ dZ Ae z
approachable	@ ' p r\ @} tS @ b @ l
R	6:
fuzzy	' f 6 z i:
herself	h @ ' s e l f
omen	' @} m @ n
photograph	' f @} t @ g r\ { f
photogenic	f @} t @ ' dZ i: n I k
beg	b e g
bed	b e d
bee	b i:
arc	6: k
dumb	d 6 m
sultry	' s 6 l t r\ i:
bet	b e t
exhibit	@ g ' z I b @ t
daughter-in-law	' d o: t @ r\ I n l o:
torment	' t o: m e n t
portrait	' p o: t r\ @ t
need	n i: d
border	' b o: d @
q	k j }:
bastard	' b 6: s t @ d
sprinkler	' s p r\ I N k l @
able	' {I b @ l
instance	' I n s t @ n s
bloodbath	' b l 6 d b 6: T
jaunt	dZ o: n t
tactic	' t { k t I k
juggle	' dZ 6 g @ l
patronise	' p { t r\ @ n Ae z
brand	b r\ { n d
rego	' r\ e dZ @}
vengeance	' v e n dZ @ n s
demise	d @ ' m Ae z
brother-in-law	' b r\ 6 D @ r\ I n l o:
awe	o:
gallery	' g { l @ r\ i:
plumber	' p l 6 m @
eject	@ ' dZ e k t
spleen	s p l i: n
urn	3: n
upset	6 p ' s e t
snapshot	' s n { p S O t
talk	t o: k
distinctive	d @ ' s t I N k t I v
plague	p l {I g
deface	d @ ' f {I s
impression	I m ' p r\ e S @ n
unsettle	6 n ' s e t @ l
cute	k j }: t
crate	k r\ {I t
anyway	' e n i: w {I
carcinogen	k 6: ' s I n @ dZ @ n
molest	m @ ' l e s t
self-absorbed	s e l f @ b z o: b d
wrestle	' r\ e s @ l
envy	' e n v i:
sheriff	S e r\ @ f
hopeful	' h @} p f U l
rash	r\ { S
versatile	' v 3: s @ t Ae l
rabbi	' r\ { b Ae
fuel	' f j }: @ l
achieve	@ ' tS i: v
dodge	d O dZ
straightaway	s t r\ {I t @ ' w {I
genitals	' dZ e n @ t @ l z
twinkle	' t w I N k @ l
maritime	' m { r\ @ t Ae m
joint	dZ oI n t
legitimate	l @ ' dZ I t @ m @ t
fallout	' f o: l {O t
magistrate	' m { dZ @ s t r\ {I t
dodgy	' d O dZ i:
Italian	@ ' t { l j @ n
